nome,preco
Limpador Sanitário Gel Flores Encantadas Pato 500ml,"6,99"
Limpador Sanitário Gel Frutas Tropicais Pato 500ml,"6,99"
Desinfetante Ypê Bak Lavanda 1l,"3,69"
Desinfetante Lysoform Lavanda 1l,"7,99"
Desinfetante Lysoform Bruto Suave 1l,"7,99"
Limpador Mr. Musculo Banheiro Squeeze 500ml com 20% de desconto,"7,99"
Cream Cheese Danubio Tradicional 150g,"4,99"
Cream Cheese Danubio Light 150g,"4,99"
Creme Dental Colgate Máxima Proteção Anticáries Menta 90g,"2,79"
Inseticida Raid Multi Insetos Base Água Óleo de Eucalipto 300ml + 150ml Grátis,"8,49"
Inseticida Aqua Protection Raid 420ml,"8,49"
Inseticida Raid Multi Insetos Base Água 300ml + 150ml Grátis,"8,49"
Sabonete Líquido Johnson´s Baby Cabeça aos Pés 200ml,"11,99"
Queijo Minas Padrão LacFree Zero Lactose 450g,"36,00"
Biscoito Nestlé Negresco Recheado 140g,"2,19"
Tablete de Chocolate Lacta Diamante Negro 90g,"4,39"
Tablete de Chocolate Lacta Laka 90g,"4,39"
Tablete de Chocolate Lacta ao leite 90g,"4,39"
Tablete de Chocolate Lacta Laka Oreo 90g,"4,39"
Tablete de Chocolate Lacta Shot 90g,"4,39"
Sanitário Pato Pastilha Adesiva Citrus com 3 unidades c/ 20% de desconto,"4,79"
Sanitário Pato Pastilha Adesiva Lavanda com 3 unidades com 20% de desconto,"4,79"
Vinho Português Esporão Alandra Tinto 750ml,"29,90"
Inseticida Baygon Ação Total 395ml/238g (aerosol),"8,99"
Sabão Lava Roupas Sanitizante em Pó Surf 5 em 1 Cuidado do coco 1.6kg,"10,59"
Detergente Lava Roupas em Pó Surf 5 em 1 Rosas e Flor de Lis 1.6kg,"10,59"
"Papel Alumínio Rolitto 7,5m x 30cm","4,55"
Presunto Cozido Sadia Fatiado 200g,"4,58"
Lasanha Seara à Parisiense 600g,"9,98"
Iogurte Vigor Grego Zero Maracujá 100g,"2,29"
Iogurte Vigor Grego Zero Morango 100g,"2,29"
Iogurte Vigor Grego Frutas Vermelhas 100g,"2,29"
Iogurte Vigor Grego Tradicional 100g,"2,29"
Iogurte Vigor Grego Flocos 100g,"2,29"
Panos Reutilizáveis Limppano Toalex c/ 50 unidades,"9,98"
Molho de Tomate Pronto Quero 340g (Sachê),"1,39"
Queijo Minas Padrão Verde Campo Tradicional 450g,"31,50"
Queijo Minas Padrão Verde Campo Light 450g,"31,50"
Batata pré-frita congelada Mc Cain Ao Forno Tradicional 600g,"8,99"
Achocolatado em Pó Nescau Tradicional 730g,"10,98"
Linguiça Calabresa Seara 250g,"5,50"
Vinho Chileno Camino de Los Andes Reservado Rosè 750ml,"19,90"
Vinho Chileno Camino de Los Andes Carmenere Reservado Tinto 750ml,"19,90"
Vinho Chileno Camino de Los Andes Cabernet Sauvignon Reservado Tinto 750ml,"19,90"
Vinho Chileno Camino de Los Andes Sauvignon Blanc Reservado Branco 750ml,"19,90"
Vinho Chileno Camino de Los Andes Chardonnay Branco 750ml,"19,90"
Vinho Chileno Camino de Los Andes Merlot Tinto 750ml,"19,90"
Desodorante Rexona Cotton Dry Motionsense 150ml (50% de desconto na 2ª unidade),"19,98"
Desodorante Rexona Men Active Dry 48h 150ml/90g (Até 50% de desconto na 2ª und.),"19,98"
Batata Palha Elma Chips Na Mesa Tradicional 110g,"3,99"
